Buch;Artikel;Abb. ;Anzahl Keramik;Summe
;;;780;
http://d-nb.info/1149941030;Pleterski;Abb. 8, A;1;
;Biermann;Abb. 14;15;
;Rathert/Geue;Abb. 7;9;
;Rathert/Geue;Abb. 8, A;9;
;Rathert/Geue;Abb. 11;3;
http://d-nb.info/1043990224 ;Megel;Abb. 7;1;
;Megel;Abb. 8;1;
;Megel;Abb. 9;1;
;Müller;Abb. 19;3;
;Müller;Abb. 55;4;
;Blum;Abb. 5;5;
;Blum;Abb. 6;21;
;Feiner;Abb. 4;48;
;Feiner;Abb. 5;55;
;Feiner;Abb. 14;9;
;Feiner;Abb. 15;13;
;Lehmann;Abb. 8;21;
;Posselt;Abb. 5;14;
;Pust;Abb. 10;14;
;Pust;Abb. 11;17;
;Unglaub;Abb. 3;1;
;Unglaub;Abb. 4;1;
;Unglaub;Abb. 5;1;
;Unglaub;Abb. 6;1;
;Unglaub;Abb. 7;1;
;Unglaub;Abb. 8;1;
;Unglaub;Abb. 9;1;
;Unglaub;Abb. 11;1;
;Pöhlmann;Abb. 7;4;
;Rösch;Abb. 3;1;
;Rösch;Abb. 5;2;
;Eichert;Abb. 4;1;
;Biermann/Bartrow/Frey;Abb. 5;12;
;Biermann/Bartrow/Frey;Abb. 23;17;
http://d-nb.info/983486336;Kennecke;Abb. 2;4;
;von Richthofen;Abb. 15;1;
;Frey;Abb. 4;25;
;Messal;Abb. 4;1;
;Messal;Abb. 5;3;
;Kinkeldey;Abb. 3;14;
;Olejniczak-Engel;Abb. 8;3;
;Olejniczak-Engel;Abb. 9;2;
;Olejniczak-Engel;Abb. 10;4;
;Olejniczak-Engel;Abb. 11;3;
;Olejniczak-Engel;Abb. 12;6;
;Olejniczak-Engel;Abb. 13;5;
;Olejniczak-Engel;Abb. 14;5;
;Frolikova-Kaliszova;Abb. 4;6;
;Frolikova-Kaliszova;Abb. 7;6;
;Niemeyer;Abb. 1;1;
;Niemeyer;Abb. 2;1;
;Niemeyer;Abb. 3;1;
;Niemeyer;Abb. 4;1;
;Niemeyer;Abb. 5;1;
http://d-nb.info/996663118;Kinkeldey;Abb. 1;16;
;Kinkeldey;Abb. 2;28;
;Kinkeldey;Abb. 3;20;
;Kinkeldey;Abb. 4;19;
;Kinkeldey;Abb. 5;51;
;Kinkeldey;Abb. 7;46;
;Frolikova-Kaliszova;Abb. 4;72;
;Frolikova-Kaliszova;Abb. 14;15;
;Friedland;Abb. 10;1;
;Friedland;Abb. 14;7;
;Schneeweiß;Abb. 6;7;
;Schneeweiß;Abb. 7;5;
;Biermann/Goßler;Ab. 2;46;
;Biermann/Goßler;Abb. 6;9;
;Biermann/Goßler;Abb. 13;27;
;Losert;Abb. 8;2;
;Losert;Abb. 12;3;
;Losert;Abb. 13;4;
;Losert;Abb. 45;6;
;Losert;Abb. 46;3;
;Losert;Abb. 47;4;
;Losert;Abb. 48;1;
;Losert;Abb. 61;9;
;Losert;Abb. 62;5;
;Fahr;Abb. 4;7;
