ID,Befund,Fundnummer
1,55,1230252
2,98,1230033
3,168,1230041
4,98,1230050
5,23,1230194
6,24,1230197
7,24,1230200
8,24,1230204
9,24,1230206
10,25,1230207
11,41,1230234
12,55,1230250
13,70,1230282
14,72,1230284
15,74,1230288
16,75,1230289
17,78,1230295
18,78,1230296
19,78,1230302
20,88,1230316
21,88,1230317
22,88,1230318
23,88,1230319
24,89,1230320
25,93,1230322
26,93,1230323
27,93,1230324
28,93,1230325
29,93,1230327
30,93,1230329
31,93,1230330
32,93,1230331
33,93,1230333
34,93,1230334
35,93,1230335
36,96,1230340
37,98,1230343
38,98,1230344
39,98,1230346
40,98,1230348
41,98,1230351
42,99,1230353
43,106,1230367
44,108,1230380
45,108,1230383
46,110,1230385
47,111,1230386
48,112,1230387
49,114,1230390
50,115,1230392
51,116,1230393
52,117,1230394
53,118,1230395
54,119,1230396
55,119,1230398
56,119,1230400
57,119,1230402
58,121,1230405
59,122,1230406
60,123,1230408
61,124,1230409
62,125,1230411
63,126,1230414
64,127,1230415
65,127,1230418
66,127,1230420
67,128,1230421
68,129,1230424
69,130,1230425
70,131,1230426
71,132,1230427
72,133,1230428
73,133,1230429
74,134,1230431
75,135,1230432
76,139,1230433
77,140,1230434
78,141,1230435
79,141,1230436
80,141,1230439
81,141,1230440
82,142,1230442
83,143,1230443
84,140,1230444
85,145,1230445
86,146,1230446
87,147,1230447
88,148,1230448
89,149,1230449
90,150,1230450
91,151,1230451
92,153,1230452
93,154,1230454
94,157,1230456
95,158,1230457
96,159,1230458
97,160,1230459
98,161,1230460
99,163,1230461
100,165,1230464
101,166,1230467
102,168,1230469
103,168,1230470
104,168,1230472
105,170,1230473
106,172,1230475
107,173,1230476
108,174,1230477
110,175,1230478
111,176,1230480
112,177,1230481
113,178,1230482
114,179,1230484
115,180,1230485
116,181,1230487
117,185,1230489
118,187,1230490
119,188,1230492
120,191,1230493
121,192,1230496
122,9000,1230498
123,24,1299999
