Fundnr,count,unique,min,max,range,sum,mean,median
"123041","4","2",1.00000,2.00000,1.00000,5.00000,1.25000,1.00000
"123050","3","1",1.00000,1.00000,0.00000,3.00000,1.00000,1.00000
"1230200","1","1",2.00000,2.00000,0.00000,2.00000,2.00000,2.00000
"1230204","1","1",2.00000,2.00000,0.00000,2.00000,2.00000,2.00000
"1230206","1","1",2.00000,2.00000,0.00000,2.00000,2.00000,2.00000
"1230207","1","1",1.00000,1.00000,0.00000,1.00000,1.00000,1.00000
"1230234","1","1",1.00000,1.00000,0.00000,1.00000,1.00000,1.00000
"1230250","1","1",3.00000,3.00000,0.00000,3.00000,3.00000,3.00000
"1230252","3","3",1.00000,5.00000,4.00000,8.00000,2.66667,2.00000
"1230282","8","5",1.00000,16.00000,15.00000,33.00000,4.12500,3.00000
"1230284","3","2",1.00000,2.00000,1.00000,4.00000,1.33333,1.00000
"1230288","1","1",1.00000,1.00000,0.00000,1.00000,1.00000,1.00000
"1230289","10","4",1.00000,6.00000,5.00000,25.00000,2.50000,2.00000
"1230296","3","2",1.00000,2.00000,1.00000,4.00000,1.33333,1.00000
"1230302","2","1",1.00000,1.00000,0.00000,2.00000,1.00000,1.00000
"1230318","1","1",1.00000,1.00000,0.00000,1.00000,1.00000,1.00000
"1230322","1","1",1.00000,1.00000,0.00000,1.00000,1.00000,1.00000
"1230323","1","1",1.00000,1.00000,0.00000,1.00000,1.00000,1.00000
"1230324","1","1",1.00000,1.00000,0.00000,1.00000,1.00000,1.00000
"1230325","1","1",1.00000,1.00000,0.00000,1.00000,1.00000,1.00000
"1230327","1","1",4.00000,4.00000,0.00000,4.00000,4.00000,4.00000
"1230333","1","1",1.00000,1.00000,0.00000,1.00000,1.00000,1.00000
"1230340","5","3",1.00000,3.00000,2.00000,8.00000,1.60000,1.00000
"1230343","1","1",1.00000,1.00000,0.00000,1.00000,1.00000,1.00000
"1230344","12","6",1.00000,8.00000,7.00000,36.00000,3.00000,2.00000
"1230346","6","2",1.00000,4.00000,3.00000,9.00000,1.50000,1.00000
"1230348","2","2",3.00000,7.00000,4.00000,10.00000,5.00000,5.00000
"1230351","7","4",1.00000,4.00000,3.00000,18.00000,2.57143,3.00000
"1230353","2","2",1.00000,4.00000,3.00000,5.00000,2.50000,2.50000
"1230367","5","3",1.00000,7.00000,6.00000,16.00000,3.20000,1.00000
"1230380","1","1",1.00000,1.00000,0.00000,1.00000,1.00000,1.00000
"1230383","2","2",1.00000,2.00000,1.00000,3.00000,1.50000,1.50000
"1230385","1","1",1.00000,1.00000,0.00000,1.00000,1.00000,1.00000
"1230387","1","1",1.00000,1.00000,0.00000,1.00000,1.00000,1.00000
"1230390","2","2",1.00000,3.00000,2.00000,4.00000,2.00000,2.00000
"1230392","3","2",1.00000,6.00000,5.00000,8.00000,2.66667,1.00000
"1230394","2","2",1.00000,8.00000,7.00000,9.00000,4.50000,4.50000
"1230395","3","3",1.00000,8.00000,7.00000,11.00000,3.66667,2.00000
"1230396","1","1",10.00000,10.00000,0.00000,10.00000,10.00000,10.00000
"1230398","2","2",1.00000,24.00000,23.00000,25.00000,12.50000,12.50000
"1230400","1","1",4.00000,4.00000,0.00000,4.00000,4.00000,4.00000
"1230402","4","2",1.00000,16.00000,15.00000,19.00000,4.75000,1.00000
"1230405","1","1",1.00000,1.00000,0.00000,1.00000,1.00000,1.00000
"1230406","1","1",2.00000,2.00000,0.00000,2.00000,2.00000,2.00000
"1230409","3","2",1.00000,9.00000,8.00000,11.00000,3.66667,1.00000
"1230411","2","2",1.00000,5.00000,4.00000,6.00000,3.00000,3.00000
"1230415","1","1",2.00000,2.00000,0.00000,2.00000,2.00000,2.00000
"1230418","5","3",1.00000,13.00000,12.00000,19.00000,3.80000,2.00000
"1230420","4","3",1.00000,7.00000,6.00000,12.00000,3.00000,2.00000
"1230421","3","3",1.00000,5.00000,4.00000,9.00000,3.00000,3.00000
"1230427","1","1",4.00000,4.00000,0.00000,4.00000,4.00000,4.00000
"1230428","4","3",1.00000,13.00000,12.00000,18.00000,4.50000,2.00000
"1230429","5","4",1.00000,20.00000,19.00000,30.00000,6.00000,2.00000
"1230433","1","1",1.00000,1.00000,0.00000,1.00000,1.00000,1.00000
"1230434","4","3",1.00000,3.00000,2.00000,7.00000,1.75000,1.50000
"1230435","4","3",1.00000,4.00000,3.00000,8.00000,2.00000,1.50000
"1230436","5","2",1.00000,4.00000,3.00000,8.00000,1.60000,1.00000
"1230439","2","2",1.00000,4.00000,3.00000,5.00000,2.50000,2.50000
"1230442","2","2",1.00000,2.00000,1.00000,3.00000,1.50000,1.50000
"1230443","1","1",1.00000,1.00000,0.00000,1.00000,1.00000,1.00000
"1230444","2","1",1.00000,1.00000,0.00000,2.00000,1.00000,1.00000
"1230445","2","2",2.00000,7.00000,5.00000,9.00000,4.50000,4.50000
"1230446","2","2",1.00000,2.00000,1.00000,3.00000,1.50000,1.50000
"1230450","1","1",1.00000,1.00000,0.00000,1.00000,1.00000,1.00000
"1230451","4","2",1.00000,3.00000,2.00000,6.00000,1.50000,1.00000
"1230454","4","2",1.00000,3.00000,2.00000,8.00000,2.00000,2.00000
"1230461","2","2",2.00000,4.00000,2.00000,6.00000,3.00000,3.00000
"1230463","1","1",4.00000,4.00000,0.00000,4.00000,4.00000,4.00000
"1230464","1","1",1.00000,1.00000,0.00000,1.00000,1.00000,1.00000
"1230467","5","2",1.00000,3.00000,2.00000,7.00000,1.40000,1.00000
"1230473","1","1",3.00000,3.00000,0.00000,3.00000,3.00000,3.00000
"1230475","4","3",1.00000,5.00000,4.00000,9.00000,2.25000,1.50000
"1230476","4","3",1.00000,3.00000,2.00000,7.00000,1.75000,1.50000
"1230477","4","3",1.00000,4.00000,3.00000,8.00000,2.00000,1.50000
"1230478","8","2",1.00000,4.00000,3.00000,11.00000,1.37500,1.00000
"1230480","1","1",1.00000,1.00000,0.00000,1.00000,1.00000,1.00000
"1230481","6","4",1.00000,4.00000,3.00000,13.00000,2.16667,2.00000
"1230484","3","2",1.00000,2.00000,1.00000,4.00000,1.33333,1.00000
"1230493","5","3",1.00000,5.00000,4.00000,15.00000,3.00000,4.00000
