ID,Befund,Fundnummer,Gramm
1,23,1230194,180
2,24,1230197,0
3,24,1230204,0
4,24,1299999,2175
5,24,1230200,0
6,24,1230206,0
7,25,1230207,650
8,41,1230234,0
9,55,"1230,252",2300
10,55,1230250,840
11,70,1230282,3750
12,72,1230284,2075
13,74,1230288,150
14,75,1230289,3600
15,78,1230295,0
16,78,1230302,175
17,78,1230296,450
18,88,1230316,550
19,88,1230319,325
20,88,1230318,650
21,88,1230317,1300
22,89,1230320,975
23,93,1230329,10
24,93,1230330,50
25,93,1230322,75
26,93,1230334,75
27,93,1230335,325
28,93,1230331,150
29,93,1230323,200
30,93,1230324,915
31,93,1230327,1375
32,93,1230325,1150
33,93,1230333,1375
34,96,1230340,3050
35,98,1230343,70
36,98,1230344,8135
37,98,1230033,0
38,98,1230348,2275
39,98,1230346,1750
40,98,1230050,925
41,98,1230351,3900
42,99,1230353,275
43,106,1230367,3900
44,108,1230383,1225
45,108,1230380,1410
46,110,1230385,400
47,111,1230386,600
48,112,1230387,650
49,114,1230390,1625
50,115,1230392,3850
51,116,1230393,275
52,117,1230394,0
53,118,1230395,2475
54,119,1230400,650
55,119,1230396,2375
56,119,1230398,5025
57,119,1230402,6200
58,121,1230405,252
59,122,1230406,1175
60,123,1230408,400
61,124,1230409,2750
62,125,1230411,725
63,126,1230414,70
64,127,1230420,1825
65,127,1230418,2750
66,127,1230415,750
67,128,1230421,2075
68,129,1230424,175
69,130,1230425,175
70,131,1230426,160
71,132,1230427,1075
72,133,1230429,2000
73,133,1230428,3175
74,134,1230431,15
75,135,1230432,725
76,139,1230433,990
77,140,1230434,1125
78,140,1230444,400
79,141,1230440,675
80,141,1230439,1950
81,141,1230435,3600
82,141,1230436,1015
83,142,1230442,1275
84,143,1230443,180
85,145,1230445,1325
86,146,1230446,585
87,147,1230447,175
88,148,1230448,50
89,149,1230449,160
90,150,1230450,230
91,151,1230451,0
92,153,1230452,290
93,154,1230454,1525
94,157,1230456,20
95,158,1230457,2675
96,159,1230458,25
97,160,1230459,600
98,161,1230460,700
99,163,1230461,2775
100,165,1230464,3175
101,166,1230467,2525
102,168,1230469,325
103,168,1230470,225
104,168,1230472,650
105,168,1230041,2125
106,170,1230473,515
107,172,1230475,2475
108,173,1230476,800
109,174,1230477,3300
110,175,1230478,1000
111,175,1230478,1350
112,176,1230480,20
113,177,1230481,1405
114,178,1230482,1650
115,179,1230484,1275
116,180,1230485,75
117,181,1230487,25
118,185,1230489,75
119,187,1230490,0
120,188,1230492,0
121,191,1230493,4450
122,192,1230496,100
123,9000,1230498,75
